id,customer_name,sentiment,csat_score,call_timestamp,day,reason,city,state,channel,response_time,call duration in minutes,call_center
DKK-57076809-w-055481-fU,Analise Gairdner,Neutral,7,10/29/2020,29,Billing Question,Detroit,Michigan,Call-Center,Within SLA,17,Los Angeles/CA
QGK-72219678-w-102139-KY,Crichton Kidsley,Very Positive,,10/5/2020,5,Service Outage,Spartanburg,South Carolina,Chatbot,Within SLA,23,Baltimore/MD
GYJ-30025932-A-023015-LD,Averill Brundrett,Negative,,9/11/2020,11,Billing Question,Gainesville,Florida,Call-Center,Above SLA,45,Los Angeles/CA
ZJI-96807559-i-620008-m7,Noreen Lafflina,Very Negative,1,8/18/2020,18,Billing Question,Portland,Oregon,Chatbot,Within SLA,12,Los Angeles/CA
DDU-69451719-O-176482-Fm,Toma Van der Beken,Very Positive,,7/25/2020,25,Payments,Fort Wayne,Indiana,Call-Center,Within SLA,23,Los Angeles/CA
JVI-79728660-U-224285-4a,Kaylyn Emlen,Neutral,5,7/1/2020,1,Billing Question,Salt Lake City,Utah,Call-Center,Within SLA,25,Baltimore/MD
AZI-95054097-e-185542-PT,Phillipe Bowring,Neutral,8,6/7/2020,7,Billing Question,Tyler,Texas,Chatbot,Within SLA,31,Baltimore/MD
TWX-27007918-I-608789-Xw,Krysta de Tocqueville,Positive,,5/14/2020,14,Billing Question,New York City,New York,Chatbot,Below SLA,37,Los Angeles/CA
XNG-44599118-P-344473-ZU,Oran Lifsey,Very Negative,,4/20/2020,20,Billing Question,Dallas,Texas,Email,Below SLA,37,Baltimore/MD
RLC-64108207-Z-285141-VS,Port Inggall,Neutral,,3/27/2020,27,Billing Question,Cincinnati,Ohio,Chatbot,Within SLA,12,Baltimore/MD
RJF-00263922-O-647027-TB,Ella Cristoforo,Negative,,3/3/2020,3,Billing Question,Everett,Washington,Chatbot,Within SLA,35,Los Angeles/CA
ZQN-32874873-e-786499-kJ,Aubrey Surcombe,Negative,,2/8/2020,8,Billing Question,Huntington,West Virginia,Web,Within SLA,18,Los Angeles/CA
